시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,관서명,지방청명,경찰서명,구분명,데이터갱신일자,업태구분명,위도,경도
경기도,성남시 수정구,신흥동,"41131101",생활편의형SOC,CVNTL,파출소,신흥 파출소,CVNTL_20_41131_00098,,경기도 성남시 수정구 시민로 150,경기도 성남시 수정구 신흥동 3775,,경기남부청,성남수정,지구대,2022-07-11,,37.4415740000,127.1440350000
경기도,수원시 권선구,세류동,"41113126",생활편의형SOC,CVNTL,파출소,세류 파출소,CVNTL_20_41113_00114,,경기도 수원시 권선구 정조로 370,경기도 수원시 권선구 세류동 1167-33,,경기남부청,수원남부,파출소,2022-07-11,,37.2427400000,127.0152360000
경기도,성남시 중원구,은행동,"41133104",생활편의형SOC,CVNTL,파출소,은행 파출소,CVNTL_20_41133_00108,,경기도 성남시 중원구 은행로25번길 14,경기도 성남시 중원구 은행동 1417-1,,경기남부청,성남중원,파출소,2022-07-11,,37.4558220000,127.1654000000
경기도,성남시 중원구,도촌동,"41133107",생활편의형SOC,CVNTL,파출소,도촌 파출소,CVNTL_20_41133_00109,,경기도 성남시 중원구 도촌북로 43,경기도 성남시 중원구 도촌동 631,,경기남부청,성남중원,파출소,2022-07-11,,37.4176300000,127.1546000000
경기도,성남시 수정구,태평동,"41131102",생활편의형SOC,CVNTL,파출소,태평4 파출소,CVNTL_20_41131_00102,,경기도 성남시 수정구 남문로 128,경기도 성남시 수정구 태평동 7290,,경기남부청,성남수정,파출소,2022-07-11,,37.4478700000,127.1408840000
경기도,성남시 분당구,운중동,"41135115",생활편의형SOC,CVNTL,파출소,서판교 파출소,CVNTL_20_41135_00097,,경기도 성남시 분당구 운중로146번길 6,경기도 성남시 분당구 운중동 938,,경기남부청,분당,파출소,2022-07-11,,37.3908100000,127.0789500000
경기도,고양시 덕양구,화정동,"41281123",생활편의형SOC,CVNTL,파출소,화정 파출소,CVNTL_20_41281_00008,,경기도 고양시 덕양구 은빛로 80,경기도 고양시 덕양구 화정동 960,,경기북부청,고양,지구대,2022-07-11,,37.6371570000,126.8367000000
경기도,고양시 덕양구,화전동,"41281129",생활편의형SOC,CVNTL,파출소,화전 파출소,CVNTL_20_41281_00009,,경기도 고양시 덕양구 중앙로 219,경기도 고양시 덕양구 화전동 544-19,,경기북부청,고양,파출소,2022-07-11,,37.6059720000,126.8660400000
경기도,안산시 단원구,선부동,"41273109",생활편의형SOC,CVNTL,파출소,선부3 파출소,CVNTL_20_41273_00148,,경기도 안산시 단원구 선삼로2길 14-20,경기도 안산시 단원구 선부동 1135,,경기남부청,안산단원,파출소,2022-07-11,,37.3448220000,126.8126900000
경기도,안산시 단원구,선부동,"41273109",생활편의형SOC,CVNTL,파출소,선부2 파출소,CVNTL_20_41273_00150,,경기도 안산시 단원구 선여불로 19,경기도 안산시 단원구 선부동 703-3,,경기남부청,안산단원,파출소,2022-07-11,,37.3440670000,126.8038800000
경기도,과천시,별양동,"41290109",생활편의형SOC,CVNTL,파출소,별양 파출소,CVNTL_20_41290_00024,,경기도 과천시 별양로 58,경기도 과천시 별양동 11,,경기남부청,과천,지구대,2022-07-11,,37.4241070000,126.9936450000
경기도,광주시,태전동,"41610110",생활편의형SOC,CVNTL,파출소,태전 파출소,CVNTL_20_41610_00031,,경기도 광주시 태봉로 46,경기도 광주시 태전동 232-1,,경기남부청,광주,파출소,2022-07-11,,37.3894700000,127.2294850000
경기도,안성시,일죽면,"41550390",생활편의형SOC,CVNTL,파출소,일죽 파출소,CVNTL_20_41550_00171,,경기도 안성시 일죽면 주래본죽로 28,경기도 안성시 일죽면 송천리 20-6,,경기남부청,안성,파출소,2022-07-11,,37.0936400000,127.4775850000
경기도,안성시,대덕면,"41550350",생활편의형SOC,CVNTL,파출소,내리 파출소,CVNTL_20_41550_00175,,경기도 안성시 대덕면 대학6길 34,경기도 안성시 대덕면 내리 676-1,,경기남부청,안성,파출소,2022-07-11,,37.0035550000,127.2259600000
